id;Brand;Model;Country;Body Type;Year;Seats;Mileage;Color;Fuel;Transmission;Doors
46;Hyundai;Santa Fe;South Korea;SUV;2019;7;32000;Red;Petrol;Automatic;5
47;Hyundai;Santa Fe;South Korea;SUV;2018;7;35000;Black;Petrol;Automatic;4
48;Hyundai;Santa Fe;South Korea;SUV;2022;7;15000;Green;Diesel;Automatic;5
49;Hyundai;Santa Fe;South Korea;SUV;2020;7;30000;Brown;Petrol;Automatic;5
50;Hyundai;Santa Fe;South Korea;SUV;2019;7;26000;White;Diesel;Automatic;4
51;Hyundai;Kona;South Korea;SUV;2020;5;18000;Silver;Petrol;Automatic;4
52;Hyundai;Kona;South Korea;SUV;2019;5;22000;Blue;Diesel;Manual;5
53;Hyundai;Kona;South Korea;SUV;2021;5;15000;White;Petrol;Automatic;4
54;Hyundai;Kona;South Korea;SUV;2022;5;10000;Black;Petrol;Automatic;5
55;Hyundai;Kona;South Korea;SUV;2020;5;25000;Red;Diesel;Manual;4
56;Hyundai;Kona;South Korea;SUV;2019;5;28000;Gray;Petrol;Automatic;5
57;Hyundai;Kona;South Korea;SUV;2018;5;32000;Black;Petrol;Manual;4
58;Hyundai;Kona;South Korea;SUV;2022;5;12000;White;Diesel;Automatic;5
59;Hyundai;Kona;South Korea;SUV;2020;5;20000;Blue;Petrol;Manual;4
60;Hyundai;Kona;South Korea;SUV;2019;5;18000;Red;Diesel;Automatic;5
61;BMW;X3;Germany;SUV;2020;5;18000;Silver;Petrol;Automatic;4
62;BMW;X3;Germany;SUV;2019;5;22000;Blue;Diesel;Manual;5
63;BMW;X3;Germany;SUV;2021;5;15000;White;Petrol;Automatic;4
64;BMW;X3;Germany;SUV;2022;5;10000;Black;Petrol;Automatic;5
65;BMW;X3;Germany;SUV;2020;5;25000;Red;Diesel;Manual;4
66;BMW;X3;Germany;SUV;2019;5;28000;Gray;Petrol;Automatic;5
67;BMW;X3;Germany;SUV;2018;5;32000;Black;Petrol;Manual;4
68;BMW;X3;Germany;SUV;2022;5;12000;White;Diesel;Automatic;5
69;BMW;X3;Germany;SUV;2020;5;20000;Blue;Petrol;Manual;4
70;BMW;X3;Germany;SUV;2019;5;18000;Red;Diesel;Automatic;5
71;BMW;X5;Germany;SUV;2020;5;18000;Silver;Petrol;Automatic;4
72;BMW;X5;Germany;SUV;2019;5;22000;Blue;Diesel;Manual;5
73;BMW;X5;Germany;SUV;2021;5;15000;White;Petrol;Automatic;4
74;BMW;X5;Germany;SUV;2022;5;10000;Black;Petrol;Automatic;5
75;BMW;X5;Germany;SUV;2020;5;25000;Red;Diesel;Manual;4
76;BMW;X5;Germany;SUV;2019;5;28000;Gray;Petrol;Automatic;5
77;BMW;X5;Germany;SUV;2018;5;32000;Black;Petrol;Manual;4
78;BMW;X5;Germany;SUV;2022;5;12000;White;Diesel;Automatic;5
79;BMW;X5;Germany;SUV;2020;5;20000;Blue;Petrol;Manual;4
80;BMW;X5;Germany;SUV;2019;5;18000;Red;Diesel;Automatic;5
81;Lexus;GS;Japan;Sedan;2020;5;18000;Silver;Petrol;Automatic;4
82;Lexus;GS;Japan;Sedan;2019;5;22000;Blue;Hybrid;CVT;4
83;Lexus;GS;Japan;Sedan;2021;5;15000;White;Petrol;Automatic;4
84;Lexus;GS;Japan;Sedan;2022;5;10000;Black;Petrol;Automatic;4
85;Lexus;GS;Japan;Sedan;2020;5;25000;Red;Hybrid;CVT;4
86;Lexus;GS;Japan;Sedan;2019;5;28000;Gray;Petrol;Automatic;4
87;Lexus;GS;Japan;Sedan;2018;5;32000;Black;Petrol;Automatic;4
88;Lexus;GS;Japan;Sedan;2022;5;12000;White;Hybrid;CVT;4
89;Lexus;GS;Japan;Sedan;2020;5;20000;Blue;Petrol;Automatic;4
90;Lexus;GS;Japan;Sedan;2019;5;18000;Red;Hybrid;CVT;4
91;Lexus;LS;Japan;Sedan;2020;5;18000;Silver;Petrol;Automatic;4
92;Lexus;LS;Japan;Sedan;2019;5;22000;Blue;Hybrid;CVT;4
93;Lexus;LS;Japan;Sedan;2021;5;15000;White;Petrol;Automatic;4
94;Lexus;LS;Japan;Sedan;2022;5;10000;Black;Petrol;Automatic;4
95;Lexus;LS;Japan;Sedan;2020;5;25000;Red;Hybrid;CVT;4
96;Lexus;LS;Japan;Sedan;2019;5;28000;Gray;Petrol;Automatic;4
97;Lexus;LS;Japan;Sedan;2018;5;32000;Black;Petrol;Automatic;4
98;Lexus;LS;Japan;Sedan;2022;5;12000;White;Hybrid;CVT;4
99;Lexus;LS;Japan;Sedan;2020;5;20000;Blue;Petrol;Automatic;4
100;Lexus;LS;Japan;Sedan;2019;5;18000;Red;Hybrid;CVT;4
